Latitude,Longitude,Parameter,Exceedance_Count,Site_id,City,Exceedance
38.342743,-108.99495,Ozone,1,Paradox,NA,TRUE
40.086944,-108.761389,Ozone,2,"Rangely, Golf Course",Rangely,TRUE
37.350054,-108.592334,Ozone,1,Cortez - Health Dept,Cortez,TRUE
40.329253,-108.49424,Ozone,1,Elk Springs,NA,TRUE
37.1984,-108.49046,Ozone,4,Mesa Verde NP - Resource Management Area,NA,TRUE
39.130575,-108.313835,Ozone,3,Palisade-Water Treatment,Palisade,TRUE
39.43806,-108.02611,Ozone,1,Battlement Mesa,Battlement Mesa,TRUE
37.10258,-107.870219,Ozone,0,SITE IS LOCATED ON THE EASTERN RIM OF THE ANIMAS RIVER VALLEY.,NA,FALSE
40.038889,-107.8475,Ozone,1,NA,NA,TRUE
39.54182,-107.784125,Ozone,1,Rifle-Health Dept,Rifle,TRUE
37.13678,-107.62863,Ozone,0,"LOCATED IN PINE RIVER VALLEY, THE MOST DENSELY POPULATED AREA.",NA,FALSE
38.8764,-107.6023,Ozone,0,"Paonia, Colorado",NA,FALSE
37.30389,-107.484167,Ozone,5,NA,NA,TRUE
37.205862,-107.254118,Ozone,0,NA,NA,FALSE
39.4125,-107.23056,Ozone,1,"Rocky Mountain School, Carbondale",NA,TRUE
38.9564,-106.9858,Ozone,2,Gothic,NA,TRUE
39.240278000000004,-105.983056,Ozone,0,"Fairplay, Colorado",NA,FALSE
39.794391,-105.76398,Ozone,13,Mines Peak,NA,TRUE
40.27813,-105.54564,Ozone,12,Rocky Mountain NP - Long's Peak,NA,TRUE
39.541515,-105.29841,Ozone,4,Aspen Park,Aspen Park,TRUE
40.070016,-105.220238,Ozone,29,Boulder Reservoir,Boulder,TRUE
39.912799,-105.188587,Ozone,33,ROCKY FLATS-N,NA,TRUE
39.743724,-105.177989,Ozone,26,NATIONAL RENEWABLE ENERGY LABS - NREL,Applewood,TRUE
40.592543,-105.141122,Ozone,25,FORT COLLINS - WEST,Fort Collins,TRUE
39.638781,-105.13948,Ozone,1,WELCH,Lakewood,TRUE
40.57747,-105.07892,Ozone,5,Fort Collins - CSU - S. Mason,Fort Collins,TRUE
39.534488,-105.070358,Ozone,24,Chatfield State Park,Roxborough Park,TRUE
39.77949,-105.00518,Ozone,6,La Casa,NA,TRUE
39.751184,-104.987625,Ozone,4,DENVER - CAMP,Denver,TRUE
39.567887,-104.957193,Ozone,13,HIGHLAND RESERVOIR,Southglenn,TRUE
39.838119,-104.94984,Ozone,1,Welby,Welby,TRUE
38.853097,-104.901289,Ozone,6,MANITOU SPRINGS,Manitou Springs (Manitou),TRUE
38.958341,-104.817215,Ozone,5,U.S. AIR FORCE ACADEMY,Air Force Academy,TRUE
40.386368,-104.73744,Ozone,7,Greeley - Weld County Tower,Greeley,TRUE
39.638522,-104.569335,Ozone,5,Aurora East,NA,TRUE
